Over,ScoreA,ScoreB
1,7/1,8/0
2,13/1,11/0
3,20/1,12/0
4,25/1,14/0
5,34/1,14/0
6,42/1,20/0
7,45/1,25/0
8,45/2,27/1
9,50/2,32/1
10,55/2,39/1
11,55/3,59/1
12,59/3,66/1
13,65/3,71/1
14,73/3,74/1
15,80/3,83/1
16,82/3,84/1
17,87/3,85/1
18,92/3,87/1
19,98/3,89/1
20,110/3,95/1
21,118/3,102/1
22,124/3,105/1
23,126/4,115/1
24,131/4,121/1
25,134/4,128/1
26,137/4,134/1
27,138/4,141/1
28,140/4,145/1
29,146/4,155/1
30,147/5,163/1
31,153/5,169/1
32,156/5,174/1
33,162/5,178/2
34,170/5,187/2
35,177/5,190/2
36,182/5,192/3
37,186/5,195/3
38,187/5,207/3
39,191/5,221/3
40,201/5,225/3
41,206/5,227/3
42,213/6,230/4
43,214/7,236/4
44,224/7,238/4
45,240/7,240/4
46,245/9,243/4
47,245/10,244/4
48,248/4,nil
-*,0,nil
